1        1.33258e+061
854      4857     0.303563
855      6644     0.41525
856      8678     0.542375
857      7150     0.446875
858      7769     0.485563
859      6327     0.395437
860      6109     0.381812
861      4805     0.300312
862      5054     0.315875
863      5561     0.347562
864      4727     0.295438
865      5057     0.316063
866      5730     0.358125
867      5348     0.33425
868      5316     0.33225
869      6787     0.424187
870      7423     0.463938
871      6877     0.429812
872      7006     0.437875
873      6689     0.418063
874      8257     0.516062
875      8102     0.506375
876      6973     0.435812
877      6497     0.406062
878      7865     0.491563
879      5196     0.32475
880      5986     0.374125
881      6164     0.38525
882      7327     0.457937
883      5945     0.371563
884      13842    0.865125
885      5112     0.3195
886      9941     0.621313
887      18815    1
888      6392     0.3995
889      4982     0.311375
890      6270     0.391875
891      8835     0.552188
892      9131     0.570688
893      4893     0.305812
894      10321    0.645062
895      7028     0.43925
896      7866     0.491625
897      6563     0.410187
898      9854     0.615875
899      8165     0.510312
900      14738    0.921125
901      11959    0.747437
902      12107    0.756687
903      8976     0.561
904      10379    0.648687
905      10130    0.633125
906      10708    0.66925
907      19317    1
908      9176     0.5735
909      8135     0.508437
910      9045     0.565312
911      8366     0.522875
912      8267     0.516687
913      9297     0.581063
914      7174     0.448375
915      6931     0.433188
916      6626     0.414125
917      5570     0.348125
918      5430     0.339375
919      5425     0.339062
920      6389     0.399313
921      5753     0.359563
922      11352    0.7095
923      15134    0.945875
924      6895     0.430937
925      7175     0.448437
926      5044     0.31525
927      6935     0.433437
928      6162     0.385125
929      5127     0.320437
930      5168     0.323
931      5356     0.33475
932      5022     0.313875
933      5104     0.319
934      6515     0.407187
935      4976     0.311
936      5528     0.3455
937      5008     0.313
938      4947     0.309188
939      5042     0.315125
940      5746     0.359125
941      5112     0.3195
942      5082     0.317625
943      5797     0.362312
944      7746     0.484125
945      6965     0.435312
946      6563     0.410187
947      5071     0.316937
948      6473     0.404562
949      6271     0.391937
950      5109     0.319312
951      4922     0.307625
952      5897     0.368563
953      5147     0.321688
954      4943     0.308937
955      4908     0.30675
956      5226     0.326625
957      4855     0.303438
958      5460     0.34125
959      5001     0.312563
960      5217     0.326062
961      6101     0.381312
962      5159     0.322437
963      4758     0.297375
964      5410     0.338125
965      4889     0.305563
966      5233     0.327062
967      6510     0.406875
968      5158     0.322375
969      6011     0.375688
970      6123     0.382688
971      4864     0.304
972      4908     0.30675
973      6592     0.412
974      5300     0.33125
975      8052     0.50325
976      6786     0.424125
977      8361     0.522563
978      6787     0.424187
979      6660     0.41625
980      7975     0.498437
981      7610     0.475625
982      5606     0.350375
983      6754     0.422125
984      6179     0.386188
985      6284     0.39275
986      4841     0.302563
987      7030     0.439375
988      5047     0.315437
989      7371     0.460688
990      9669     0.604313
991      12778    0.798625
992      11015    0.688438
993      4879     0.304937
994      5247     0.327937
995      6731     0.420687
996      3608     0.2255
997      14127    0.882938
998      11686    0.730375
999      7675     0.479687
1000     8965     0.560312
1001     4903     0.306437
1002     4281     0.267562
1003     16982    1
1004     4123     0.257688
1005     6783     0.423938
1006     7176     0.4485
1007     6688     0.418
1008     9322     0.582625
1009     7755     0.484687
1010     6476     0.40475
1011     10120    0.6325
1012     10842    0.677625
1013     8150     0.509375
1014     7316     0.45725
1015     8609     0.538062
1016     15058    0.941125
1017     11854    0.740875
1018     8021     0.501313
1019     8831     0.551937
1020     6880     0.43
1021     9023     0.563937
1022     7565     0.472813
1023     9913     0.619563
1024     7503     0.468938
1025     6030     0.376875
1026     9678     0.604875
1027     7385     0.461562
1028     12413    0.775813
1029     10287    0.642938
1030     7911     0.494437
1031     5067     0.316688
1032     5669     0.354312
1033     9846     0.615375
1034     6639     0.414938
1035     6326     0.395375
1036     8999     0.562438
1037     5809     0.363063
1038     7597     0.474813
1039     5801     0.362563
1040     6052     0.37825
1041     6081     0.380063
1042     6285     0.392813
1043     12487    0.780438
1044     11683    0.730187
1045     8394     0.524625
1046     6250     0.390625
1047     6500     0.40625
1048     6815     0.425938
1049     6597     0.412313
1050     5769     0.360563
1051     7047     0.440437
1052     6919     0.432437
1053     6175     0.385937
1054     6082     0.380125
1055     9054     0.565875
1056     8584     0.5365
1057     9303     0.581438
1058     5890     0.368125
1059     6413     0.400813
1060     8877     0.554813
1061     9921     0.620062
1062     5668     0.35425
1063     6353     0.397062
1064     5658     0.353625
1065     9708     0.60675
1066     7741     0.483812
1067     4947     0.309188
1068     5548     0.34675
1069     6274     0.392125
1070     6183     0.386437
1071     5812     0.36325
1072     8597     0.537312
1073     5806     0.362875
1074     8966     0.560375
1075     6674     0.417125
1076     5791     0.361938
1077     6345     0.396562
1078     10149    0.634312
1079     6895     0.430937
1080     6054     0.378375
1081     7032     0.4395
1082     5967     0.372937
1083     6090     0.380625
1084     6009     0.375563
1085     5808     0.363
1086     7020     0.43875
1087     6803     0.425187
1088     6356     0.39725
1089     6277     0.392313
1090     7554     0.472125
1091     5813     0.363312
1092     5812     0.36325
1093     6506     0.406625
1094     6217     0.388562
1095     5904     0.369
1096     6269     0.391813
1097     6113     0.382063
1098     6077     0.379812
1099     8279     0.517437
1100     5882     0.367625
1101     15154    0.947125
1102     12335    0.770938
1103     3989     0.249312
1104     4345     0.271562
1105     4946     0.309125
1106     4334     0.270875
1107     4300     0.26875
1108     5519     0.344938
1109     5252     0.32825
1110     9733     0.608313
1111     12074    0.754625
1112     9713     0.607062
1113     9915     0.619687
1114     6074     0.379625
1115     6590     0.411875
1116     12639    0.789937
1117     38227    1
1118     28043    1
1120     12274    0.767125
1121     9425     0.589063
1122     8112     0.507
1123     7599     0.474938
1124     9476     0.59225
1125     7562     0.472625
1126     9087     0.567937
1127     8483     0.530188
1128     7299     0.456188
1129     8119     0.507437
1130     8106     0.506625
1131     6260     0.39125
1132     9181     0.573812
1133     10269    0.641813
1134     9112     0.5695
1135     7080     0.4425
1136     7416     0.4635
1137     10168    0.6355
1138     7808     0.488
1139     8941     0.558813
1140     7078     0.442375
1141     7327     0.457937
1142     6920     0.4325
1143     7704     0.4815
1144     7688     0.4805
1145     6664     0.4165
1146     11469    0.716812
1147     11110    0.694375
1148     7810     0.488125
1149     6787     0.424187
1150     7164     0.44775
1151     9597     0.599812
1152     6851     0.428187
1153     7141     0.446313
1154     5730     0.358125
1155     6004     0.37525
1156     7574     0.473375
1157     10542    0.658875
1158     5625     0.351562
1159     6379     0.398687
1160     11881    0.742563
1161     11666    0.729125
1162     13095    0.818438
1163     6279     0.392437
1164     6222     0.388875
1165     8258     0.516125
1166     9002     0.562625
1167     6938     0.433625
1168     7152     0.447
1169     11350    0.709375
1170     5275     0.329688
1176     12627    0.789188
1177     12665    0.791562
1178     15791    0.986938
1179     17085    1
1180     8323     0.520188
1181     9840     0.615
1182     13679    0.854938
1183     9937     0.621062
1184     9893     0.618313
1185     6249     0.390562
1186     7958     0.497375
1187     9390     0.586875
1188     7290     0.455625
1189     7222     0.451375
1190     12767    0.797937
1191     6682     0.417625
1192     7744     0.484
1193     7521     0.470062
1194     6484     0.40525
1195     20689    1
1196     9467     0.591688
1198     8051     0.503188
0        0        0
0        0        0
0        0        0
0        0        0
0        0        0
0        0        0
0        0        0
0        0        0
0        0        0
0        0        0
0        0        0
0        0        0
0        0        0
0        0        0
0        0        0
0        0        0
0        0        0
0        0        0
0        0        0
0        0        0
0        0        0
0        0        0
0        0        0
0        0        0
0        0        0
0        0        0
0        0        0
0        0        0
0        0        0
0        0        0
0        0        0
0        0        0
0        0        0
0        0        0
0        0        0
0        0        0
0        0        0
0        0        0
0        0        0
0        0        0
0        0        0
0        0        0
0        0        0
0        0        0
